ODNS,Cluster,Provider,Location,ASN,RDNS
183.236.236.217,149.68,移动,广东省江门市,9808,R_A
113.31.108.235,149.68,UCloud,上海市,4811,R_A
210.36.52.216,149.68,广西医科大学,广西南宁市,4538,R_A
219.128.102.76,149.68,电信,广东省佛山市顺德区,4134,R_A
119.180.112.2,149.68,联通,山东省,4837,R_A
119.179.154.209,149.68,联通,山东省,4837,R_A
219.128.102.78,149.68,电信,广东省佛山市顺德区,-1,R_A
121.11.161.203,149.68,电信,广东省揭阳市,4134,R_A
113.226.91.159,149.68,联通,辽宁省大连市,4837,R_A
39.78.75.115,149.68,联通,山东省临沂市,4837,R_A
119.166.176.98,149.68,联通,山东省青岛市,4837,R_A
125.93.230.40,149.68,电信,广东省东莞市,-1,R_A
153.3.54.196,149.68,联通,江苏省南京市,4837,R_A
60.166.9.36,149.68,电信,安徽省合肥市,4134,R_A
103.192.254.226,149.68,电信,上海市徐汇区,4811,R_A
106.42.69.14,149.68,电信,河南省南阳市,139019,R_A
124.131.84.19,149.68,联通,山东省烟台市,4837,R_A
113.87.161.175,149.68,电信,广东省深圳市,-1,R_A
60.175.99.171,149.68,(凤台县)电信,安徽省淮南市,4134,R_A
121.201.38.174,149.68,深圳坂田数据中心BGP多线,广东省深圳市,58543,R_A
175.8.60.224,149.68,电信,湖南省长沙市,4134,R_A
120.196.182.53,149.68,移动,广东省佛山市,9808,R_A
222.65.170.8,149.68,电信,上海市闵行区,4812,R_A
114.241.105.227,149.68,联通,北京市,4808,R_A
61.145.111.206,149.68,电信,广东省佛山市顺德区,4134,R_A
112.237.240.11,149.68,联通,山东省烟台市,4837,R_A
58.48.196.113,149.68,电信,湖北省武汉市,4134,R_A
58.33.47.58,149.68,电信,上海市浦东新区,4812,R_A
61.170.214.209,149.68,电信,上海市宝山区,4812,R_A
180.165.189.255,149.68,电信,上海市,-1,R_A
218.79.37.8,149.68,电信,上海市虹口区,4812,R_A
223.100.150.136,149.68,移动,辽宁省大连市,56044,R_A
101.230.91.2,149.68,电信,上海市,-1,R_A
183.62.142.82,149.68,电信,广东省深圳市,4134,R_A
123.164.204.38,149.68,电信,黑龙江省七台河市,4134,R_A
210.36.59.0,149.68,广西医科大学,广西南宁市,4538,R_A
183.233.222.164,149.68,移动,广东省东莞市,9808,R_A
116.233.174.30,149.68,电信,上海市徐汇区,-1,R_A
183.234.1.200,149.68,移动,广东省东莞市,9808,R_A
125.46.56.58,149.68,联通,河南省平顶山市,4837,R_A
182.149.117.241,149.68,电信,四川省成都市,4134,R_A
120.211.69.239,149.68,移动,河北省,24547,R_A
182.38.178.60,149.68,电信,山东省滨州市,4134,R_A
219.128.102.74,149.68,电信,广东省佛山市顺德区,4134,R_A
42.247.2.140,149.68,黑龙江职业学院教育网,黑龙江省哈尔滨市,4538,R_A
222.240.98.231,149.68,电信,湖南省长沙市,4134,R_A
120.237.173.250,149.68,移动,广东省,9808,R_A
218.71.1.236,149.68,电信,浙江省温州市乐清市,-1,R_A
180.119.225.242,149.68,电信,江苏省扬州市,4134,R_A

